editorial_number,source_pdf_page,printed_page,source_line,note_latex
362,265,251,728,本段“basé un autre”缺少 sur，应作 basé sur un autre。incarcérer 与 emprisonner 均可用于实指监禁，不能以“emprisonner 具有比喻义”作为前者产生的充分原因。此处不同来源的相关词与前页同一屈折范式中的补充关系，也应在分析层次上分开。
363,265,251,729,“et de faire”应作 et faisons，与 Quittons 构成并列祈使句。
364,265,251,735,“doivent prononcées”应为 doivent être prononcées。前段 Institut…économiques 后遗漏右引号。
365,266,252,751,名称中的 Général 应作 Générale，与阴性名词 Confédération 配合。这些机构、福利和制度名称在本章作为词汇构造实例保留，不代表本重排版断言其仍全部维持出版时的制度状态。
366,266,252,758,英语国家名应为 Netherlands，而不是 Netherland；这里保留底本对 Benelux 构成的说明形式。
367,267,253,781,“des métaplasmes dite”应为 des métaplasmes dits。
368,268,254,822,“de de métaplasme”叠印，应删去一个 de。
369,269,255,832,此例的方向疑被倒置：若由 l’Ascension 误切为 la Cension / la Cencion，才符合本段“去掉误认作冠词的词首成分”的定义；正文所述从 la Cencion 到 l’Ascension 并不能示范该过程。原书未给例证出处，本轮只作拟校。
370,269,255,840,“vient latin”缺少 du。prosthèse 按本段自己的定义是词首增音，不能直接等同于“以 /e/ 替换 /s/”；词首增音与其后 /s/ 的消失是须区别的变化阶段。
371,269,255,847,“des rares exemple”应为 des rares exemples；“j usques”应合写 jusques。此处书写 s 在元音前连诵实现为 [z]，不可把字母 s 与其具体语音值直接等同。
372,270,256,863,这些例子混合了倒装形式、词尾元音变化与增音，不宜一概解释为增加新音。“dussé-je”所对应的 devoir 形式是虚拟式未完成过去时 dusse，而非虚拟式现在时（应为 doive）；“puissé-je”才对应现在时 puisse。
373,270,256,868,“Les locuteurs donc ajouté”缺少 ont；此处 /b/ 是 phonème（音素／音位层面的插入音），不是具有意义或语法功能的 morphème。
374,271,257,892,“d’une double d’agglutination”中第二个 d’ 多余，应为 d’une double agglutination。
375,272,258,911,in dem Wagen 是介词 in 与第三格定冠词构成的处所短语，不是德语另有一个名为“inessif”的形态格。原书第五章的相同术语亦应作此区分。
376,272,258,926,“du premier lexèmes”应为 du premier lexème；“peut parfois n’être parfois”有重复且否定结构不完整，拟作 peut parfois n’être qu’une seule lettre。Bollywood 的拼合位置也不能仅凭字母 o 就完成音节分析。
377,273,259,952,原书未列证据证明 probably 历史上由 probablely 经叠音省略而来；不能把构词拼写中的去 e 与同音节省略混同。此例保留待核，不据这一拼法推定词源。
378,274,260,963,此处混淆了两种同形词。西班牙语 abogado（律师）来自拉丁语 advocātus，不来自纳瓦特尔语；水果名称对应的西班牙语词为 aguacate，其词源为 ahuacatl。参见 RAE–ASALE 两词条\ecite{52}。法语水果名称的具体借入中介还须另行核对，不由同形关系直接推定。
379,274,260,969,"小标题 Inférence 与上文术语不一致，应为 Interférence。11\,825/60\,000 约为19.7\%，但这是所称词典的词条比例，不能直接作为整个法语词汇的无条件比例；原书未说明词典版本、统计口径和年份，数字保留待核。"
380,275,261,998,这张表混合了阿拉伯语中介借词、语义翻译及词源有争议的项目，不能一概理解为每个词都具有相同的“阿拉伯语词源”。尤其 chemise、bedaine、caramel 等需逐项重核；本轮保留全部45个条目并标明待核，不以现代清单静默替换。
381,276,262,1008,“日语只允许开音节”的概括过强，还须处理拨音等特殊拍；两词中的补元音现象本身可以保留。这里以 /r/ 代表日语流音是宽式记法，不意味着它与英语 /r/ 的实际发音相同。
382,276,262,1023,“un autre langue”应为 une autre langue。“一旦借入便不再可作形态分析”不是必然规律。此处还应区别阿拉伯语词根 ṭālib 与借词中的 -ān 复数形式；“taliban 是阿拉伯语复数”的分析需订正：RAE–ASALE 的 talibán 条把 ṭālibān 列为波斯语复数，词干 ṭālib 才进一步追溯到阿拉伯语。不能从词干来源推出整个词形的语法来源，参见\ecite{52}。法语复数书写 -s 也不等于处处发音 /s/。
383,278,264,1062,“ceci expliquer”应为 ceci explique；“entre le français et anglais”应为 entre le français et l’anglais。具体借词数量、比例与首次见证年代需给出词典、语料和计数口径；未注明口径的“deux tiers”不能作为全语言的精确统计。
384,278,264,1079,表中的 house / home 都是日耳曼语来源，不能示范“一项日耳曼、一项罗曼”的配对；bookstore 的 store 等成分也使“整词纯属盎格鲁－撒克逊语来源”的说法过于简单。此表又不同于前文“同一词源的双式词”的定义，应区分词源双式与近义词配对。
385,279,265,1098,本页 bougette 的转写括号不配对，照原样保留。“tunnel 于15世纪借入法语”及“flirt 必然来自 fleureter”两项词源史断言需要词典证据，本轮标为待核，不据相似形式确证借入关系。
386,281,267,1182,题干“racines greces”应为 racines grecques。
387,282,268,1230,第13、23项均为 inter-，这是底本的重复，不擅自替换为另一个前缀；表中词缀来源也应逐项研究，不能先验地断定所有项目都只可能源于希腊语或拉丁语。
