editorial_note,source_pdf_page,printed_page,note_latex
236,186,172,CLG 的第二原则准确标题为“能指的线条性”（caractère linéaire du signifiant），首先限定于听觉能指；不宜把整个符号或一切语言模态都说成只能一维排列。下引首句保留了这一限定。见\ecite{38}，第一部分第 I 章 § 3。
237,187,173,这一说法需要 CLG 中的限定：能指或所指各自具有差异性，但“符号作为整体”被明确称为在自身秩序中的积极事实（fait positif）。不能删去这一层区别而一概否认整个符号的积极性质。见\ecite{38}，第二部分第 IV 章 § 4。
238,191,177,此处把研究对象的区分说成完全排除，过于绝对。CLG“导论”第 V 章明确承认外部语言学研究的重要性，但主张不必借助外部因素才能认识语言内部组织；不宜把这一方法论区分等同于外部语言学不属于语言研究。见\ecite{38}。
239,191,177,语序误，应为 dont les principales branches sont。下列“语用学与言语行为”一项是本教材的现代编排，不宜读作 CLG 原书给出的分科表。
240,194,180,引文“est à celle”在本句中语法不通，疑为 est celle；未取得此引文所据 Gustave Guillaume 课程版次及页码，故只列拟校，不改正文。
241,194,180,原文“ont des disciplines”疑漏 s，应为 sont des disciplines。仍需与所据课程版本核对。
242,194,180,本框不是 CLG 的逐字引文。CLG 第二部分第 V 章使用 rapports associatifs，与 syntagmatiques 对举；“paradigmatiques”是这里采用的后起术语。关联关系也不只限于同一语法位置可替换的项目，后文举 enseigner、armement 等即显示其范围更广。见\ecite{38}。
243,194,180,Plus de clarté 在此缺少引介介词，宜为 Pour plus de clarté。
244,195,181,原文 ne succèdent 应为 se succèdent。
245,196,182,此处 syntagmatiques 与本段标题及“替换／或”的解释相矛盾，应为 paradigmatiques。
246,197,183,术语通常写作 actes de langage，此处 langages 的复数不当。前面“语义学／句法学”的列举次序与全书目录第 10 章 Syntaxe、第 11 章 Sémantique 相反；正文仍按底本保留。
247,200,186,此释义属于交际参与者的二人组合；本章 dyade 指能指与所指构成的二元关系，不是两个交谈者。应按本章语境释为“二元组／二元结构”。
248,201,187,这一定义比本章的用法窄：本章还讨论非语言符号；Saussure 的语言符号也并非仅指“代表事物的单词”，而是能指与所指的结合，且不能化约为名称与事物的配对。见\ecite{38}，第一部分第 I 章。
249,201,187,“能指”误释为“具体含义”，与下条“所指”混淆。在 Saussure 的术语中，能指是音响形象（image acoustique），所指是概念；音响形象也不等于外界的物理声波。本章所述任意性针对两者间的联系。见\ecite{38}，第一部分第 I 章。
250,201,187,“符号所代表的事物”与意义概念混淆，也与本章关于 signifié／référent 的区分不符。signification 可依语境指意义、意指或表意关系，并不专指“语法意义”；不应把它等同于指称对象。参见本章原书 157、160、173 页及\ecite{38}。
