editorial_note,source_pdf_page,printed_page,note_latex
159,141,127,这里的“八支”仅列所取分类下仍有活语言的分支；本章后面另列安纳托利亚语支和吐火罗语支。若把本句当作包括灭绝语支在内的完整列表，会与本章自己的后文冲突，宜补明范围。
160,141,127,原文如此，l’ensemble后漏介词，应为l’ensemble des langues。
161,141,127,原文如此。remonter à的介词缺失，应为remontent tous deux à l’adjectif。
162,142,128,原文如此；若回指les catégories sociales，应为ces dernières；若指这些阶层的成员，则须补明确的人称指称。
163,142,128,此句把传闻写成了确定史实。Suétone《Divus Iulius》82先说Caesar未发出言语，随后才把“{\BBFifthTranslit καὶ σὺ τέκνον}”列作另一些人的传述；宜改为“据一种古代传述……”，不应断言他必说了此句\ecite{26}。
164,142,128,原文如此，列举中的de应与前项一致，作des textes courants。
165,142,128,作者归属及年代待核。底本把该材料归于1世纪的Valerius Probus，却未说明所据版本；题名中的Probi本身不足以完成作者鉴定。本批未取得有关校订研究全文，暂不把某一订值列为确证；待核文献线索见\ecite{27}。
166,142,128,原文如此，分词与阴性复数erreurs配合，应作commises。
167,142,128,末例应区别民间继承与学术借入：oculus经民间音变产生的法语词是œil；oculaire来自拉丁语ocularis，不能作为本段oculus→oclus音变的直接结果\ecite{28}。
168,142,128,“/mt/变为/t/”与紧接的domtare→dompter例子不符。所示变化是在m与t之间出现p的增音，而不是把m删去；该例不能证明/mt/→/t/。
169,143,129,“罗曼诸语言不再有变格”须限定词类，不能直接推广到整个语言系统。法语je/me等人称代词仍随句法功能改变形式；各罗曼语的名词格情况还须分别核对。
170,143,129,法译原文如此。拉丁语aut表示“或”，此处漏掉连接关系；应为“en langue romane rustique ou en langue tudesque”。依据为本句并列给出的拉丁原文。
171,143,129,原文dans en重复，应删除dans或改写为dans une langue romane。
172,143,129,原文如此，主语为三人，应为petits-fils。
173,144,130,原文缺介词，应为s’explique aussi par la présence。
174,146,132,原文如此，应为de l’écriture。
175,147,133,此句混淆了古代安纳托利亚语与突厥语。两者不是同一语系，不能把古代小亚细亚诸王国的文字材料称为最早土耳其语文本；宜改为相应的古代安纳托利亚语言，具体所指仍须原著资料确认。与本章后面将le turc列为非印欧语言的说明亦不相容。
176,147,133,此处采用拉丁字母的改革应改为1928年，而非1919—1922年。所查二级历史资料将第1353号法律的通过日期列为1928年11月1日；本批未取得法律原件，不声称核过原始法条\ecite{29}。
177,149,135,原文如此。此书初刊年应为1836，不是1936；见1836年原版书目与数字化文本\ecite{30}。
178,151,137,原文sur de l’étude中de赘余，应为basés sur l’étude de 30 langues。
179,152,138,括号内的顺序是O-S-V，不是标题所说的O-V-S。按本章统一以chat为主语、souris为宾语的例法，OVS应写“la souris mange le chat”。
180,152,138,原文法语译文缺助动词a，应作“le jaguar a mangé l’homme”。此处保留源例的语序与转写；作为OVS例，首项为宾语、末项为主语。
181,152,138,此处565没有说明是哪个版本或子样本，不能当作WALS全库规模。查阅的WALS第81章81A表覆盖1376种语言，其中OSV为4种；还单列无主导语序的语言。它与上文Tomlin的百分比并非同一统计样本，不宜直接拼接\ecite{31}。
182,153,139,应区分具体构式的线性排列与语言的基本语序分类。法语前置宾语弱代词确实可呈S-O-V，但这不把法语改列为基本SOV语言。WALS第81章明确以主语、宾语均为名词短语的陈述句为比较依据\ecite{31}。
183,153,139,"底本越南语例句漏、错多处附加符号。按所给法译拟校为“Khi tôi đến nhà bạn tôi, chúng tôi bắt đầu làm bài”。其中bắt đầu须分词，đến、bạn、chúng、làm的字形不能省略或以其他声调替代；译文所添过去体信息未由本句单独标记。此为语言形式拟校，非原版引文比对。"
184,154,140,原文末句缺宾语代词，应为mais ne le précède pas。
185,154,140,原文est en une中en赘余，应为est une langue。
186,154,140,原文缺介词à，应为contrairement à une langue isolante。
187,154,140,本章把synthétique与fusionnel等同，容易混淆两个分类维度：综合程度涉及一个词包含多少语素，融合性涉及语素边界与形式的可分解程度。黏着结构也可以高度综合，故“黏着／综合”不是严格对立；本段拟比较的是“黏着／融合”\ecite{32}。
188,154,140,日语的孤立语分类问题见原书127页对应校注及\ecite{25}；形态类型相似不构成谱系孤立或同源的证据。
189,155,141,原文此处漏a，应为kiswahili。本段有关swahili与kiswahili关系的说明另列待核。
190,155,141,原文est n’est系重复误植，应为et n’est pas fléchi。
191,157,143,“综合”与“融合”不宜当作同义词；本段对“一种形式表示多个概念成分”的说明属于累积表达。综合程度、语音融合及累积表达须分别界定；参见原书140页校注及\ecite{32}。
192,157,143,此处再次把黏着与综合当成排他类型，不能由“黏着”推出“非综合”。同一种语言还可能因语法范畴不同而同时采用分析和综合手段；将整个印欧语系概括为一种形态类型过强，参见\ecite{32}。
193,157,143,原文dans ajout d’affixe应为sans ajout d’affixe。
194,158,144,对应mes“我的（复数领有物）”，此处in应为im；原书142页的ev-ler-im-de已经给出相同分析。in表示第二人称单数领有者，不能在此代替im。
195,158,144,hommasse不是homme的阴性形式，而是形容“女子外貌或举止粗壮、似男子”的形容词（带贬义）；若举homme的阴性词汇对应，应为femme，且属不同词根的对应，不能分析为加阴性词尾。参见词典释义\ecite{34}。
196,158,144,原文aïl误加分音符，应为ail。
197,158,144,原文vers un l’intérieur多出un，应为vers l’intérieur。illere词源亦可疑，宜参核illatus／inferre；本批暂保留为待核词源，不据猜测替换正文。
198,158,144,原文essere不是拉丁语“是”的通常不定式，拉丁语为esse；本句在右括号后还漏est，应为L’inessif (…) est le cas grammatical…。
199,159,145,原文缺介词par，应为il s’exprime généralement par une préposition。此处flexionnelles沿用作者与agglutinantes对比的用法，不能据此认为黏着结构没有屈折。
200,159,145,这里应为in + ablatif，不是datif。拉丁语in表示处所时支配夺格，表示进入的方向时支配宾格；cubiculo在此为单数夺格，虽与该词单数与格同形，不能据词尾同形误定句法格。参见Allen与Greenough语法§221\ecite{33}。
201,161,147,原书书目此处Hagège姓氏重复，应删去右括号后的Hagège。
202,163,149,本词条法文indo-européene少一个n，应为indo-européenne。正文按底本保留。
203,163,149,本条把黏着型也纳入综合型，与原书140、143页正文的排他性分类不一致；综合程度与融合程度应分别说明。保留原释义，并提示读者对照有关校注及\ecite{32}。
