editorial_note,source_pdf_page,printed_page,category,note_latex,references
288,226,212,待核／保留,引文 instrument d’interaction social 中形容词若修饰 interaction，应为 sociale。其余译句按底本保留；本轮未取得该法语译文的确切原始出处，不用自行翻译的英语段落替换。,
289,226,212,待核／保留,待核：底本将 systémique 这一名称的缘由直接归于计算机运作类比，却未列该句出处。本轮未取得可核查的 Halliday 原著段落来确认此归因，故保留为作者的解释，不把类比当作已经证实的术语史结论。,
290,227,213,辨析／订正,certains événement 应为 certains événements，名词须用复数。,
291,228,214,辨析／订正,任期误。SLE 官方历史页所录首任会长为 1966 年的 André Martinet，任至 1967 年年会；1967 年已由 Björn Collinder 接任。原文不能把 1966–1999 当作连续会长任期。\ecite{45},E45
292,229,215,辨析／订正,le prosodèmes 应为 les prosodèmes，冠词与复数名词须一致。,
293,229,215,辨析／订正,法语词 rateau 缺少长音符，应为 râteau。音标中的元音选取依底本保留，不把某一地区的元音合流分析强加给所有法语变体。,
294,229,215,辨析／订正,术语层级有误：按本段和随后定义，具有区别功能的声调单位 tonème 属于音系分析，应将 en phonétique 改为 en phonologie。音色 timbre 也不能不加限定地全算为超音段特征；如元音音质同时用于区分音段。参见官方 IPA 表对元音、超音段特征和声调的分别列示。\ecite{41},E41
295,230,216,辨析／订正,统计与范围提示：这里未注明估计的抽样框及“声调语言”口径，不宜作为精确普查比例。WALS 第 13 章明确提醒其样本不按各地区语言密度比例取样，并将挪威语等欧洲语言列入声调或边缘声调类。因此，既不能由该样本直接推出全球比例，也不能把声调限定为非欧洲现象。底本估计保留，不用另一口径的新数字替换。\ecite{44},E44
296,230,216,待核／保留,待核：“十五调”以及“最高纪录”未指明侗语方言、调类与实际调值的计数口径，不能当作该语言所有变体共同的音位数。越南语“六调”的适用方言也须限定；本轮不在未取得各方言原始描写时另填数字。,
297,231,217,待核／保留,这些音位数没有注明语言变体及分析口径，不能视为各语言唯一而固定的值。是否将长短对立、双元音、塞擦音等计作独立单位也会改变结果。本轮未取得支撑这一整组数值的原始清单，故保留数字并列待核，不擅自换上一组同样未说明口径的数字。,
298,231,217,辨析／订正,发音部位误：\bipa{[ʀ]} 是小舌颤音（roulée uvulaire），不是舌尖颤音（apicale）；\bipa{[r]} 则是齿龈颤音。符号依底本保留，名称在此订正。\ecite{41},E41
299,231,217,辨析／订正,按此处定义，allophone 是“同一音位”的不同语音实现，应将 d’un même son 改为 d’un même phonème，避免把具体语音与音位混为一谈。依据为本章前述音段／音位区分。,
300,232,218,待核／保留,待核：此处“阿拉伯语”未指明变体，也没有给出验证 \bipa{[r]／[ʀ]} 对立的最小对立语料。\bipa{[ʀ]} 和小舌擦音 \bipa{[ʁ]} 不能仅因形近而互换。原书可能混淆了颤音与擦音符号，本版不未经方言和语料核实就代换该例。\ecite{41},E41
301,232,218,辨析／订正,est réalisé deux manières 缺少介词，应为 est réalisé de deux manières。,
302,232,218,待核／保留,“所有声调语言均有变调”是强于“具有声调对立”的全称判断；本段没有给出跨语言证据或限定 sandhi 的定义。故保留原句并列为待核，不把声调语言的定义本身当作这一断言的证明。,
303,233,219,辨析／订正,“un allophone（一个变体）”不能概括本段已列的多种声调变体：前文同时讨论了上声变升调、半上声及“一／不”的变调。应区分四个基本声调与它们在具体环境中的实现，不能把所有变调相加后固定为“一个变体”。“轻声”亦不等于语音上完全没有音高；参见声调与音高使用的区分。\ecite{44} 轻声前上声的具体条件、“一”的轻声等规则仍需专项核对。,E44
304,233,219,辨析／订正,定义缺少关键限定：应为被中和的音位所共有的区别特征（particularités distinctives communes），而不是把各自所有特征相加。可直接与本章第 220 页随后所引定义对照。,
305,233,219,辨析／订正,此例不能证明两个元音之间的 /k/ 与 /g/ 对立。Duden 所列 singen 为 \bipa{[ˈzɪŋən]}，sinken 为 \bipa{[ˈzɪŋkn̩]}；前者没有独立发出的 [g]，后者的 [k] 前接 [ŋ]，也不是本句声称的元音间位置。应另选确实包含相应音位、环境相同的最小对立例；正文仍保留原例。\ecite{47},E47
306,233,219,辨析／订正,应区分三个层次：\bipa{/k/} 是原有音位，\bipa{[k]} 是此例中和位置的语音实现，\bipa{/K/} 表示所分析的共同特征单位（原音位／超音位）。不宜直接把“清辅音音位 \bipa{/k/}”称为 archiphonème；依据同下页本书所引定义。,
307,234,220,辨析／订正,本句把“参与中和的不同音位”与“archiphonème 本身”混为一谈；应改为：archiphonème 表示在中和位置仍有效的共同区别特征。不是每个不能在某位置出现的音位都单独叫作 archiphonème。可由本页最后引文中的“communes aux deux phonèmes”直接校核。,
308,234,220,辨析／订正,记号应与分析层级一致：既然此处把两者作为同一音位的语音变体，应写 \bipa{[z]} 和 \bipa{[s]}，而不是先用两组音位斜线再否认它们是不同音位。依据本章第 215、217–218 页自己的记号约定。,
309,234,220,辨析／订正,place au morphèmes 应为 place aux morphèmes，与复数名词配合。,
310,236,222,辨析／订正,此处年份 1929 与本章第 206 页对同文所注 1960（法译 1963）不一致，不能把两者同时当作此文的发表年；应采用正文该处的 1960／1963 区分。本轮另对照了该文英语原文节选中的诗歌功能段落，但未据它回译替换本书法文。\ecite{46},E46
311,236,222,辨析／订正,引文 il la fonction poétique 应为 à la fonction poétique；此处为明确的文字讹误。,
312,236,222,辨析／订正,原文 second i des deux mots 中 i 疑为赘字，应为 second des deux mots。/like /Ike/ 的字形和斜线也依底本保留；其上下文的音标已显示要比较的是 like 与 Ike。原文以 y 表示双元音第二部分，属于所引旧式转写，不改作现代 IPA 后冒充底本文字。,
313,237,223,辨析／订正,两条书目的人名 Mickael 均应为 Michael（通常署 M. A. K. Halliday），与本章正文第 212 页 Michael Halliday 不一致。此处只訂正人名，不把尚未逐页核验的书目细节默认为已审定。,
314,237,223,辨析／订正,词条例释混用了“音位”与“送气音”。较准确的说法是：当送气与不送气在某语言中不区别词义、而属同一音位的不同实现时，两者是该音位的变体。不能不指明语言就把“不送气”定义为“送气音”的变体；依据本章第 217–218 页的定义和语言相对性说明。,
315,237,223,辨析／订正,此释义与本章术语用法不符。在 Jakobson 的功能划分中，conative 指向受话者，典型语法表现为呼格和祈使式，并不是“正在进行”的时体意义。宜释为“意动的／受话者导向的：旨在作用于受话者、促使其作出反应”。与本章第 210–211 页及原文节选相互校核。\ecite{46},E46
316,238,224,辨析／订正,“他把个体看作”中代词回指“功能主义语言学”，拟校为“它把个体看作”。未改变词条对该理论的概括内容。,
