cumulative_note,source_pdf_page,printed_page,note_tex
134,121,107,几处须分开：（1）“ne réfèrent pas à rien de réel”按上下文应为“ne réfèrent à rien de réel”；“une pseudo-propositions”应为单数。（2）将意义条件直接概括成经验可验证性，把后述证实论读进了《逻辑哲学论》；4.024区分理解命题和知道命题为真。（3）不能把“无内容”与“胡说”并为一类；4.461—4.4611明确说重言式与矛盾式虽无实质内容，却不是无意义的胡说。参见 \ecite{19}。
135,121,107,此处再把 Kant 的“先天”与“分析”当作同义词是不正确的：Kant 明确讨论先天综合判断，并把纯数学判断列入其中，参见 \ecite{18}，导论V。文字上“une la tautologie”多出冠词；“on n’obtient donc de prédicat”及“ne posent cependant de problèmes”均漏“pas”。此外，四个直角并不足以定义正方形，也适用于非正方形的矩形。
136,122,108,引文归属待核：本次在所核对的《逻辑哲学论》德英全文中检索 Ulysses／Odysseus，未找到这一例句。暂保留原文，不把这段转述当作已经确证的该书原话；“没有指称”也不应未经论证就与“没有意义”直接画等号。参见 \ecite{19}。
137,122,108,排印订正：“philo sophiques”中间的空格应删，作“philosophiques”。
138,124,110,年份订正：《蓝皮书》是1933—1934年向剑桥学生口授的笔记；这里的1934—1935不宜用作《蓝皮书》的时间范围。参见所用版本的出版社说明 \ecite{22}。
139,124,110,语法订正：“ne veut pas à s’attarder”中“à”多余，应为“ne veut pas s’attarder”。引文“plus simples que celles dont nous utilisons”亦有关系结构问题，可作“plus simples que celles que nous utilisons”；此为法语句法拟校，不冒称核过该法译本。
140,125,111,引文中的数一致订正：“des mesure”应为“des mesures”；“d’une expériences”应为“d’une expérience”。
141,125,111,此处的“换言之”不成立：验证方法或真值条件不是某个既定真值；两个不同命题可以同为真而意义不同。“synthétiques (dépourvus de sens)”也不能泛指所有综合命题；原书第114页所引宣言本身承认经验科学命题有意义。前述“il faut savoir le Tractatus”另漏“que”，应为“il faut savoir que le Tractatus”。
142,127,113,引文句法订正：“à réclame”应为“à réclamer”，“la phrases”应为“les phrases”。“la polémique contre”与前面的不定式并列不齐，可能漏有动词；“moyen d’indexation”亦与上下文的“表达手段”对照不够清晰。后两处须对照原法译版本，暂列待核，不静默改写引文。
143,129,115,术语订正：在本章讨论的认识论语境中，\textit{a posteriori}应译“后验的／后验地”，指依赖经验，不等于归纳推理或由果溯因。下一词\textit{a priori}应译“先验的／先天的”，指其根据不依赖经验，亦不等于由因溯果。参见 \ecite{18}，导论I—V。
